OBJECTID,TCE_NM_RIO,TCE_DS_CLASSE,SHAPE_Length
2053,Rio Camanducaia ou da Guardinh,5,0.0974125708018467
2054,Rio Jaguari,1,0.0613690347722181
2055,Rio Jaguari,1,0.195383067302578
2056,Ribeirão Fundo,5,0.260337852566971
2057,Rio Piracicaba,1,0.0670525932584466
2058,Rio Piracicaba,1,0.0619708727276979
2059,Rio Itaguari,999,0.0604077390951634
2060,Rio Verde Grande,4,0.0087749264021457
2061,Rio Verde Grande,4,0.0262252252200941
2062,Rio Verde Pequeno,2,0.125378420847598
2063,Rio Verde Pequeno,2,0.0835957508785362
2064,Rio Itaguari,999,0.038182832758184
2065,Rio Carinhanha,999,0.0596338365276063
2066,Rio Verde Grande,4,0.0231268407155432
2067,Rio Verde Grande,4,0.0547729331611692
2068,Rio Verde Pequeno,2,0.0643836653666796
2069,Rio Verde Pequeno,2,0.0778868430844766
2070,Rio Verde Pequeno,2,0.0218746136210951
2071,Rio Itaguari,999,0.0526294738139846
2072,Rio Moxotó,999,0.0333807514108943
2073,Rio Ipanema,999,0.0539171398855339
2074,Rio Moxotó,999,0.0837704356564073
2075,Rio Moxotó,999,0.00275190596650161
2076,Rio Ipanema,999,0.0351959966728141
2077,Riacho Coité,999,0.0595683138917528
2078,Rio Moxotó,999,0.0171838242352377
2079,Riacho Coité,999,0.151913716429473
2080,Riacho Coité,999,0.0336603561829558
2081,Rio Ipanema,999,0.0349311049211097
2082,Riacho Coité,999,0.0301388992371828
2083,Rio Moxotó,999,0.011464515272863
2084,Rio Ipanema,999,0.00669182390766236
2085,Ribeirão Verde,4,0.0266896269844724
2086,Ribeirão Verde,4,0.0694300611286232
2087,Ribeirão Verde,4,0.0676057222305827
2088,Ribeirão Verde,4,0.0193713862269604
2089,Ribeirão Verde,4,0.0552067326540593
2090,Ribeirão Verde,4,0.0614410795824514
2091,Ribeirão Verde,4,0.0208273790787114
2092,Ribeirão Verde,4,0.0536489993288142
2093,Ribeirão Verde,4,0.0850786313233813
2094,Ribeirão Verde,4,0.0492285055299513
2095,Rio Pardo,5,0.183757762459204
2096,Rio Pardo,5,0.00833352598915081
2097,Rio Pardo,5,0.0337395977494656
2098,Rio Piracicaba,1,0.0477400780706305
2099,Rio Camanducaia ou da Guardinh,5,0.143235392112795
2100,Rio Camanducaia ou da Guardinh,1,0.0348525821017867
2101,Rio Piracicaba,1,0.0383532643953103
2102,Rio Piracicaba,1,0.0280309221898622
2103,Rio Camanducaia ou da Guardinh,1,0.176000791530203
2104,Rio Sapucaí-mirim,6,0.237842216371378
2105,Rio Camanducaia ou da Guardinh,5,0.352451068553446
2106,Rio Atibaia,1,0.10667691120141
2107,Rio Atibaia,1,0.220453110960171
2108,Rio Verde Pequeno,2,0.0742711279274677
2109,Rio Carinhanha,999,0.0932606501936802
