X,Y,OBJECTID,cd,cdestacao,sguf,entidade,corpodagua,ambiente,latitude,longitude,nuecoli,med_2001,med_2003,med_2004,med_2005,med_2006,med_2007,med_2008,med_2009,med_2010,med_2011,med_2012,med_2013,med_2014,med_2015,med_2016,med_2017,med_2018,med_2019,med_2020,min_2001,min_2003,min_2004,min_2005,min_2006,min_2007,min_2008,min_2009,min_2010,min_2011,min_2012,min_2013,min_2014,min_2015,min_2016,min_2017,min_2018,min_2019,min_2020,max_2001,max_2003,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020
-38.9626079999999,-3.77199499999995,3489,6782,SIN-14,CE,COGERH,Sitios Novos,2,-3.771995,-38.962608,15,,,,,,,,,,,,,,,,,,,8.19333333,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,62.4
-45.24,-18.92,3490,6783,BPE7,MG,IGAM,Represa de Três Marias,2,-18.92,-45.24,18,,,,,,,,,,,,,,,,,,,1479.72777778,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,24196
-46.336944,-23.503056,3491,6784,TIET03120,SP,CETESB,Rio Tietê,1,-23.503056,-46.336944,8,,,,,,,,,,,,,,,,,,,448875,,,,,,,,,,,,,,,,,,,33000,,,,,,,,,,,,,,,,,,,2200000
-46.835833,-21.572222,3492,6785,PARD02010,SP,CETESB,Rio Pardo - UGRHIs 4 e 12,1,-21.572222,-46.835833,7,,,,,,,,,,,,,,,,,,,1746.14285714,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,8100
-43.006256,-22.825367,3493,6786,00RJ10AN0750,RJ,INEA,Rio Alcântara,1,-22.825367,-43.006256,4,,,,,,,,,,,,,,,,,,947500,,,,,,,,,,,,,,,,,,,350000,,,,,,,,,,,,,,,,,,,1600000,
-40.3602099999999,-4.81741899999997,3494,6788,CRO-02,CE,COGERH,Carão,2,-4.817419,-40.36021,7,,,,,,,,,,,,,,,,,,,5.71428571,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,22.6
-53.418417,-29.9238609999999,3495,6789,85442000,RS,FEPAM,Informação não disponível,1,-29.923861,-53.418417,5,,,,,,,,,,,,,,,,,,,568.8,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,,,,,,,,,,1553.1
-43.136389,-22.9358329999999,3496,6790,02RJ10GN0306,RJ,INEA,Baía de Guanabara,4,-22.935833,-43.136389,27,,,,,,,,,,,,,,124.6,59.5,,,,588.16666667,,,,,,,,,,,,,,10,10,,,,18,,,,,,,,,,,,,,359,157,,,,3300
-58.339308,-10.3956669999999,3497,6791,JUR316,MT,SEMA,Juruena,1,-10.395667,-58.339308,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10,
-46.984167,-23.063611,3498,6792,CPIV02100,SP,CETESB,Rio Capivari,1,-23.063611,-46.984167,7,,,,,,,,,,,,,,,,,,,55600,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,83000
