X,Y,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,NUIQA,MEDIQA,MINIQA,MAXIQA,DEVIQA,LATITUDE,LONGITUDE
-45.53944,-17.03056,967,2480,SFH13,2021,MG,IGAM,Rio Paracatu,1,7,72.249668,57.467651,83.989466,10.967795,-17.03056,-45.53944
-46.01447,-17.02917,968,2481,PT009,2021,MG,IGAM,Rio Paracatu,1,8,69.692927,51.201841,81.489545,11.172752,-17.02917,-46.01447
-46.23939,-17.0256899999999,969,2482,PTE033,2021,MG,IGAM,Rio Paracatu,1,8,74.992901,60.639127,91.907434,11.827709,-17.02569,-46.23939
-48.58,-17.02,970,2484,PB028,2021,MG,IGAM,Córrego São Lourenço,2,8,74.725296,69.598669,79.693281,3.666881,-17.02,-48.58
-42.25258,-16.9753899999999,971,2487,JE018,2021,MG,IGAM,Rio Setúbal,1,8,52.529955,44.612105,57.657055,4.103893,-16.97539,-42.25258
-42.4628299999999,-16.94519,972,2489,JE015,2021,MG,IGAM,Rio Araçuaí,1,8,70.805058,45.172117,90.501081,12.950518,-16.94519,-42.46283
-42.1333099999999,-16.92297,973,2490,JE016,2021,MG,IGAM,Rio Gravatá,1,6,70.365736,42.260788,79.462902,14.06136,-16.92297,-42.13331
-41.46,-16.92,974,2491,JE040,2021,MG,IGAM,Rio Capivari,1,6,58.300216,40.02164,73.356558,14.499253,-16.92,-41.46
-46.39061,-16.91358,975,2493,PTE031,2021,MG,IGAM,Ribeirão Entre Ribeiros,1,8,74.828141,63.352635,80.062606,5.383569,-16.91358,-46.39061
-41.3099999999999,-16.8699999999999,976,2494,JE043,2021,MG,IGAM,Rio Araçuaí,1,8,77.323572,49.304461,92.387152,12.342032,-16.87,-41.31
-41.7599999999999,-16.86,977,2495,JE041,2021,MG,IGAM,Rio Setúbal,1,8,63.995195,59.37806,73.13002,5.380301,-16.86,-41.76
-44.9151699999999,-16.85972,978,2496,SF023,2021,MG,IGAM,Rio São Francisco (SF),1,8,73.756692,54.394033,88.301157,11.898712,-16.85972,-44.91517
-42.07722,-16.85056,979,2497,JE017,2021,MG,IGAM,Rio Araçuaí,1,8,64.598615,46.735874,77.618562,9.356931,-16.85056,-42.07722
-40.1895,-16.8455559999999,980,2498,PIJJUN100,2021,BA,INEMA,Jucuruçu,1,5,63.679208,57.713606,72.961088,6.36639,-16.845556,-40.1895
-40.1563889999999,-16.838611,981,2500,,2021,BA,,,1,4,61.707678,59.308562,66.261744,3.099563,-16.838611,-40.156389
-40.31917,-16.83861,982,2501,JU003,2021,MG,IGAM,Rio Jucuruçú,1,8,73.992828,68.510182,77.340218,3.127273,-16.83861,-40.31917
-39.8413399999999,-16.83831,983,2502,PIJJUN250,2021,BA,INGÁ,Jucuruçu-Braço Norte,1,5,60.761555,57.495479,63.137809,2.322679,-16.83831,-39.84134
-43.6908299999999,-16.78167,984,2507,VG001,2021,MG,IGAM,Rio Verde Grande,1,6,58.810795,50.968014,67.488767,6.626215,-16.78167,-43.69083
-44.96781,-16.75289,985,2508,SF040,2021,MG,IGAM,Rio Pacuí,1,8,63.24447,45.638712,78.398899,14.66407,-16.75289,-44.96781
-40.4194699999999,-16.73169,986,2511,JU001,2021,MG,IGAM,Rio Jucuruçú,1,8,65.647462,57.84388,70.313435,3.852114,-16.73169,-40.41947
-39.449806,-16.717389,987,2513,FBSCIV400,2021,BA,INGÁ,Caraíva,1,5,71.680884,65.745077,78.720069,5.182768,-16.717389,-39.449806
-45.4168099999999,-16.69089,988,2514,PTE037,2021,MG,IGAM,Ribeirão Santa Fé,1,8,74.724769,54.400628,83.647954,9.533937,-16.69089,-45.41681
-45.23556,-16.68833,989,2515,PT013,2021,MG,IGAM,Rio Paracatu,1,8,74.32132,55.178291,93.399064,14.494154,-16.68833,-45.23556
-43.15,-16.67,990,2517,JE002,2021,MG,IGAM,Rio Congonhas,1,8,71.234556,51.293472,84.19568,11.699321,-16.67,-43.15
-41.1399999999999,-16.66,991,2518,JE039,2021,MG,IGAM,Rio Araçuaí,1,8,77.849811,46.44009,87.1779,13.197883,-16.66,-41.14
-42.3983299999999,-16.6572199999999,992,2519,JE007,2021,MG,IGAM,Rio Jequitinhonha,1,8,75.259723,58.508035,84.65994,7.973063,-16.65722,-42.39833
-39.1422219999999,-16.641944,993,2522,FBSFRD800,2021,BA,INEMA,dos Frades,1,5,58.333042,45.565962,66.312732,8.615713,-16.641944,-39.142222
-42.18472,-16.62083,994,2526,JE011,2021,MG,IGAM,Rio Jequitinhonha,1,8,70.271833,55.555699,80.234267,8.837502,-16.62083,-42.18472
-42.9399999999999,-16.6199999999999,995,2527,JE033,2021,MG,IGAM,Ribeirão Extrema,1,8,73.658927,60.712143,86.159314,8.935395,-16.62,-42.94
-39.541333,-16.6168329999999,996,2530,FBSFRD300,2021,BA,INGÁ,Rio dos Frades,1,5,75.975237,65.378068,81.677646,6.778906,-16.616833,-39.541333
-43.74286,-16.6046899999999,997,2533,VG003,2021,MG,IGAM,Ribeirão dos Vieiras ou Rio dos Vieiras,1,7,36.801874,33.100654,42.245496,3.169801,-16.60469,-43.74286
-41.7569399999999,-16.59667,998,2535,JE019,2021,MG,IGAM,Rio Jequitinhonha,1,8,64.118355,36.57606,88.768571,18.007453,-16.59667,-41.75694
-42.9,-16.59,999,2539,JE032,2021,MG,IGAM,Rio Itacambiruçu,1,8,71.423053,53.278823,89.837286,11.780848,-16.59,-42.9
-40.13881,-16.58503,1000,2540,BU001,2021,MG,IGAM,Rio Buranhém,1,8,73.190769,59.873788,88.561138,8.414012,-16.58503,-40.13881
-41.4999999999999,-16.5799999999999,1001,2541,JE044,2021,MG,IGAM,Ribeirão São João,1,8,62.092891,46.794013,77.370461,11.30344,-16.58,-41.5
-40.15406,-16.574,1002,2542,FBSPEX050,2021,BA,INEMA,do Peixe / Buranhem,1,4,72.244316,70.812502,74.436418,1.709868,-16.574,-40.15406
-45.98567,-16.57125,1003,2544,UR009,2021,MG,IGAM,Ribeirão das Almas,1,8,56.521732,44.862332,65.877777,8.376049,-16.57125,-45.98567
-41.02,-16.5699999999999,1004,2545,JE046,2021,MG,IGAM,Rio São Miguel,1,8,65.944709,51.321257,77.81921,10.414061,-16.57,-41.02
-42.7599999999999,-16.5699999999999,1005,2546,JE038,2021,MG,IGAM,Rio Jequitinhonha,1,8,79.893886,61.597861,91.607946,9.304148,-16.57,-42.76
-39.4298459999999,-16.5560809999999,1006,2549,FBSBRA900,2021,BA,INEMA,Braço Norte,1,5,68.395416,60.755664,75.806508,6.702528,-16.556081,-39.429846
-40.15,-16.55,1007,2550,BU002,2021,MG,IGAM,Rio Buranhém,1,8,62.283174,56.200775,66.366928,3.865988,-16.55,-40.15
-42.4399999999999,-16.54,1008,2551,JE030,2021,MG,IGAM,Rio Vacaria,1,7,75.610665,53.188025,94.015946,13.887657,-16.54,-42.44
-46.71944,-16.53333,1009,2556,PT007,2021,MG,IGAM,Rio Preto (SF7),1,8,70.505237,46.570892,93.597105,15.08993,-16.53333,-46.71944
-43.68072,-16.5204199999999,1010,2558,SFJ15,2021,MG,IGAM,Rio Caititu,1,6,59.416695,50.743064,75.929759,8.986902,-16.52042,-43.68072
-42.77,-16.52,1011,2560,JE031,2021,MG,IGAM,Rio Ventania,1,8,74.856718,65.278445,87.309169,8.591665,-16.52,-42.77
-45.9753899999999,-16.4678299999999,1012,2577,UR016,2021,MG,IGAM,Ribeirão Santo André,1,8,68.249716,47.004375,85.129398,13.380887,-16.46783,-45.97539
-43.9999999999999,-16.4499999999999,1013,2581,SF039,2021,MG,IGAM,Rio Riachão,1,8,75.230866,69.109896,85.990305,5.004817,-16.45,-44
-40.99922,-16.4443899999999,1014,2582,JE020,2021,MG,IGAM,Rio São Miguel (JQ3),1,8,70.463205,52.547705,84.201777,11.337938,-16.44439,-40.99922
-41.01778,-16.4278899999999,1015,2585,JE021,2021,MG,IGAM,Rio Jequitinhonha,1,8,65.582792,49.952816,79.686914,12.548144,-16.42789,-41.01778
-39.3536109999999,-16.424167,1016,2586,,2021,BA,,,1,4,75.860196,56.74784,84.947269,13.23755,-16.424167,-39.353611
-41.0099999999999,-16.42,1017,2590,JE037,2021,MG,IGAM,Rio Araçuaí,1,8,77.363227,54.959978,87.832929,10.331896,-16.42,-41.01
-39.587306,-16.4133889999999,1018,2591,FBSBRH300,2021,BA,INGÁ,Buranhém,1,5,76.158095,70.006704,82.06322,5.338807,-16.413389,-39.587306
-42.41486,-16.41,1019,2592,JE009,2021,MG,IGAM,Rio Salinas,1,8,68.813103,47.564029,81.585809,10.82869,-16.41,-42.41486
-39.2859999999999,-16.3928,1020,2594,FBSBRH500,2021,BA,INGÁ,Buranhém,1,5,70.185273,61.827532,79.858373,7.594488,-16.3928,-39.286
-39.68166,-16.3908299999999,1021,2595,FBSBRH250,2021,BA,INEMA,Cabeceira de Pedras,1,5,70.889467,64.273599,75.900427,6.034403,-16.39083,-39.68166
-44.41,-16.3899999999999,1022,2597,SFC035,2021,MG,IGAM,Rio Riachão,1,8,72.290873,48.520079,79.344067,10.008937,-16.39,-44.41
-45.06542,-16.3707199999999,1023,2601,SF025,2021,MG,IGAM,Rio São Francisco (SF),1,8,75.275839,53.309405,91.342834,15.373577,-16.37072,-45.06542
-43.7831399999999,-16.3405799999999,1024,2605,SFJ16,2021,MG,IGAM,Rio Verde Grande,1,8,50.124981,42.647537,56.981957,4.982743,-16.34058,-43.78314
-46.92392,-16.33519,1025,2607,PTE027,2021,MG,IGAM,Rio Preto (SF7),1,8,69.163119,50.064877,84.118726,12.678681,-16.33519,-46.92392
